lineup_ids,lineup_names,MINUTES
1713-202391-203458-1626147-1628989,V. Carter-J. Lin-A. Len-J. Anderson-K. Huerter,4.0
1713-202391-203458-1628989-1629027,V. Carter-J. Lin-A. Len-K. Huerter-T. Young,4.0
1713-202391-1627761-1628381-1628989,V. Carter-J. Lin-D. Bembry-J. Collins-K. Huerter,4.0
1713-202391-203473-1626147-1628989,V. Carter-J. Lin-D. Dedmon-J. Anderson-K. Huerter,4.0
1713-202391-1626147-1627761-1627816,V. Carter-J. Lin-J. Anderson-D. Bembry-A. Poythress,4.0
1713-202391-1626147-1628381-1628989,V. Carter-J. Lin-J. Anderson-J. Collins-K. Huerter,4.0
1713-202391-1628381-1628989-1629027,V. Carter-J. Lin-J. Collins-K. Huerter-T. Young,4.0
1713-202391-203145-203458-1629027,V. Carter-J. Lin-K. Bazemore-A. Len-T. Young,4.0
1713-202391-203145-1627761-1627816,V. Carter-J. Lin-K. Bazemore-D. Bembry-A. Poythress,4.0
1713-202391-203145-1628989-1629016,V. Carter-J. Lin-K. Bazemore-K. Huerter-O. Spellman,4.0
1713-202391-203145-1627752-1628381,V. Carter-J. Lin-K. Bazemore-T. Prince-J. Collins,4.0
1713-202391-203145-1627752-1629016,V. Carter-J. Lin-K. Bazemore-T. Prince-O. Spellman,4.0
1713-202391-203101-203145-1627761,V. Carter-J. Lin-M. Plumlee-K. Bazemore-D. Bembry,4.0
1713-202391-203101-1627752-1628989,V. Carter-J. Lin-M. Plumlee-T. Prince-K. Huerter,4.0
1713-203145-1627761-1627816-1629027,V. Carter-K. Bazemore-D. Bembry-A. Poythress-T. Young,4.0
1713-203145-203473-1627761-1629016,V. Carter-K. Bazemore-D. Dedmon-D. Bembry-O. Spellman,4.0
1713-203145-203473-1628989-1629121,V. Carter-K. Bazemore-D. Dedmon-K. Huerter-J. Adams,4.0
1713-203145-203473-1628416-1629027,V. Carter-K. Bazemore-D. Dedmon-T. Dorsey-T. Young,4.0
1713-203145-1627752-1629016-1629027,V. Carter-K. Bazemore-T. Prince-O. Spellman-T. Young,4.0
1713-203101-203145-1628989-1629027,V. Carter-M. Plumlee-K. Bazemore-K. Huerter-T. Young,4.0
203458-1627772-1628989-1629016-1629121,A. Len-D. Hamilton-K. Huerter-O. Spellman-J. Adams,3.0
203458-1626147-1627761-1628381-1629027,A. Len-J. Anderson-D. Bembry-J. Collins-T. Young,3.0
